Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes,Link,Value
25604,1983324,852218,10/1/1998 0:00,Charter Discontinued,Purchase/Acquisition,19981001,1998,MORGAN STANLEY TRUST COMPANY                                                                                            ,Chase,"MORGAN STANLEY TRUST COMPANY transferred its assets to one or more institutions including CHASE MANHATTAN BANK, THE. ",,
28800,736804,852218,12/1/1996 0:00,Charter Discontinued,Merger,19961201,1996,"CHASE MANHATTAN BANK, NATIONAL ASSOCIATION",Chase,"CHASE MANHATTAN BANK, NATIONAL ASSOCIATION, THE transferred its assets to one or more institutions including CHASE MANHATTAN BANK, THE. ",,
29292,748601,852218,7/14/1996 0:00,Charter Discontinued,Merger,19960714,1996,"CHASE MANHATTAN BANK, N.A.",Chase,"CHASE MANHATTAN BANK, N.A., THE transferred its assets to one or more institutions including CHEMICAL BANK. ",,
34752,68710,852218,7/1/1993 0:00,Charter Discontinued,Not Applicable,19930701,1993,TEXAS COMMERCE BANKS                                                                                                    ,Chase,TEXAS COMMERCE BANKS transferred its assets to one or more institutions including CHEMICAL BANK. ,,
36398,295310,852218,6/20/1992 0:00,Charter Discontinued,Merger,19920620,1992,MANUFACTURERS HANOVER TRUST COMPANY,Chase,MANUFACTURERS HANOVER TRUST COMPANY transferred its assets to one or more institutions including CHEMICAL BANK. ,https://www.nytimes.com/1992/06/22/business/manufacturers-hanover-fades-out.html,
36893,140474,852218,3/14/1992 0:00,Failure,Not Applicable,19920314,1992,CENTRAL FEDERAL SAVINGS BANK                                                                                            ,Chase,CENTRAL FEDERAL SAVINGS BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.,,
36940,246910,852218,3/7/1992 0:00,Charter Discontinued,Not Applicable,19920307,1992,CHEMICAL BANK DELAWARE                                                                                                  ,Chase,CHEMICAL BANK DELAWARE transferred its assets to one or more institutions including CHEMICAL BANK. ,,
37488,225410,852218,11/9/1991 0:00,Failure,Not Applicable,19911109,1991,COMMUNITY NATIONAL BANK AND TRUST COMPANY OF NEW YORK                                                                   ,Chase,COMMUNITY NATIONAL BANK AND TRUST COMPANY OF NEW YORK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.,,
38089,433279,852218,7/20/1991 0:00,Failure,Not Applicable,19910720,1991,ENSIGN FEDERAL SAVINGS BANK                                                                                             ,Chase,ENSIGN FEDERAL SAVINGS BANK failed and ceased to exist. Disposition was arranged by the regulatory agency. Assets were distributed to other entities.,,
,,,,,Purchase/Acquisition,,1986,TEXAS COMMERCE BANK N.A.,Chase,Acquistion valued at $1.1 billion.,https://www.nytimes.com/1986/12/16/business/chemical-is-buying-a-big-texas-bank.html,
54888,14904,852218,10/1/1978 0:00,Charter Discontinued,Not Applicable,19781001,1978,CHEMICAL BANK OF BINGHAMTO,Chase,CHEMICAL BANK OF BINGHAMTON transferred its assets to one or more institutions including CHEMICAL BANK. ,,
54889,163008,852218,10/1/1978 0:00,Charter Discontinued,Not Applicable,19781001,1978,CHEMICAL BANK-BUFFALO,Chase,CHEMICAL BANK-BUFFALO transferred its assets to one or more institutions including CHEMICAL BANK. ,,
54891,601603,852218,10/1/1978 0:00,Charter Discontinued,Not Applicable,19781001,1978,CHEMICAL BANK OF ROCHESTER,Chase,CHEMICAL BANK OF ROCHESTER transferred its assets to one or more institutions including CHEMICAL BANK. ,,
54892,739814,852218,10/1/1978 0:00,Charter Discontinued,Not Applicable,19781001,1978,CHEMICAL BANK OF SYRACUSE,Chase,CHEMICAL BANK OF SYRACUSE transferred its assets to one or more institutions including CHEMICAL BANK. ,,
54894,792604,852218,10/1/1978 0:00,Charter Discontinued,Not Applicable,19781001,1978,"CHEMICAL BANK EASTERN, N.A.",Chase,"CHEMICAL BANK EASTERN, N.A. transferred its assets to one or more institutions including CHEMICAL BANK. ",,
55191,711418,852218,4/1/1977 0:00,Charter Discontinued,Not Applicable,19770401,1977,"CHEMICAL BANK HUDSON VALLEY, NATIONAL ASSOCIATION",Chase,"CHEMICAL BANK HUDSON VALLEY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including CHEMICAL BANK. ",,
55445,536910,852218,11/11/1975 0:00,Charter Discontinued,Not Applicable,19751111,1975,CHEMICAL BANK OF SUFFOLK N.A.,Chase,CHEMICAL BANK OF SUFFOLK N.A. transferred its assets to one or more institutions including CHEMICAL BANK. ,,
55529,931609,852218,1/19/1975 0:00,Charter Discontinued,Not Applicable,19750119,1975,SECURITY NATIONAL BANK,Chase,SECURITY NATIONAL BANK transferred its assets to one or more institutions including CHEMICAL BANK. ,https://www.nytimes.com/1975/01/20/archives/pressed-security-national-bought-by-chemical-bank-40million.html,
57103,75802,852218,2/25/1964 0:00,Charter Discontinued,Not Applicable,19640225,1964,FIRST NATIONAL BANK OF VERNON                                                                                           ,Chase,FIRST NATIONAL BANK OF VERNON transferred its assets to one or more institutions including CHEMICAL BANK NEW YORK TRUST COMPANY. ,,
57104,575601,852218,2/25/1964 0:00,Charter Discontinued,Not Applicable,19640225,1964,BENSONHURST NB OF BROOKLYN                                                                                              ,Chase,BENSONHURST NB OF BROOKLYN transferred its assets to one or more institutions including CHEMICAL BANK NEW YORK TRUST COMPANY. ,,
57214,640611,852218,6/4/1963 0:00,Charter Discontinued,Not Applicable,19630604,1963,BANK OF ROCKVILLE CENTRE TRUST                                                                                          ,Chase,BANK OF ROCKVILLE CENTRE TRUST transferred its assets to one or more institutions including CHEMICAL BANK NEW YORK TRUST COMPANY. ,,
