Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes
26172,1213683,480228,5/7/1998 0:00,Charter Discontinued,Merger,19980507,1998,"NATIONSBANK OF TEXAS, N.A.",Bank of America,"NATIONSBANK OF TEXAS, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
26379,1838479,480228,3/28/1998 0:00,Charter Discontinued,Merger,19980328,1998,BOATMEN'S TRUST COMPANY OF ARKANSAS                                                                                     ,Bank of America,"BOATMEN'S TRUST COMPANY OF ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
26433,478757,480228,3/13/1998 0:00,Charter Discontinued,Merger,19980313,1998,BOATMENS TRUST COMPANY                                                                                                  ,Bank of America,"BOATMENS TRUST COMPANY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
26436,2175797,480228,3/13/1998 0:00,Charter Discontinued,Merger,19980313,1998,"BOATMEN'S TRUST COMPANY, AN OKLAHOMA TRUST COMPANY                                                                      ",Bank of America,"BOATMEN'S TRUST COMPANY, AN OKLAHOMA TRUST COMPANY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
26594,1943953,480228,1/23/1998 0:00,Charter Discontinued,Merger,19980123,1998,BOATMEN'S TRUST COMPANY OF ILLINOIS                                                                                     ,Bank of America,"BOATMEN'S TRUST COMPANY OF ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
26603,41076,480228,1/16/1998 0:00,Charter Discontinued,Merger,19980116,1998,"SUN WORLD, N.A",Bank of America,"SUN WORLD, N.A. transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27301,345952,480228,9/20/1997 0:00,Charter Discontinued,Merger,19970920,1997,BOATMEN'S TRUST COMPANY OF KANSAS,Bank of America,"BOATMEN'S TRUST COMPANY OF KANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27427,46642,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF PINE BLUFF,Bank of America,"BOATMEN'S NATIONAL BANK OF PINE BLUFF transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27428,207751,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"SUNWEST BANK OF RATON, NATIONAL ASSOCIATION",Bank of America,"SUNWEST BANK OF RATON, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27429,218458,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,SUNWEST BANK OF SANTA FE ,Bank of America,"SUNWEST BANK OF SANTA FE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27430,226154,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"SUNWEST BANK OF LAS CRUCES, NATIONAL ASSOCIATION",Bank of America,"SUNWEST BANK OF LAS CRUCES, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27431,285441,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S BANK OF NORTHEAST ARKANSAS,Bank of America,"BOATMEN'S BANK OF NORTHEAST ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27433,404756,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"SUNWEST BANK OF ALBUQUERQUE, NATIONAL ASSOCIATION",Bank of America,"SUNWEST BANK OF ALBUQUERQUE, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27435,450847,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF NORTH CENTRAL ARKANSAS,Bank of America,"BOATMEN'S NATIONAL BANK OF NORTH CENTRAL ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27436,451741,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF CONWAY,Bank of America,"BOATMEN'S NATIONAL BANK OF CONWAY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27437,459747,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF HOT SPRINGS,Bank of America,"BOATMEN'S NATIONAL BANK OF HOT SPRINGS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27438,489557,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"SUNWEST BANK OF ROSWELL, NATIONAL ASSOCIATION",Bank of America,"SUNWEST BANK OF ROSWELL, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27439,502148,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF SOUTH ARKANSAS,Bank of America,"BOATMEN'S NATIONAL BANK OF SOUTH ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27440,562946,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF NEWARK ,Bank of America,"BOATMEN'S NATIONAL BANK OF NEWARK transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27441,563055,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,SUNWEST BANK OF RIO ARRIBA NATIONAL ASSOCIATION,Bank of America,"SUNWEST BANK OF RIO ARRIBA NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27443,614041,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF NORTHWEST IOWA,Bank of America,"BOATMEN'S NATIONAL BANK OF NORTHWEST IOWA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27444,639259,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"SUNWEST BANK OF CLOVIS, NATIONAL ASSOCIATION",Bank of America,"SUNWEST BANK OF CLOVIS, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27445,654140,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S BANK OF FORT DODGE,Bank of America,"BOATMEN'S BANK OF FORT DODGE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27446,691547,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S BANK OF NORTH IOWA,Bank of America,"BOATMEN'S BANK OF NORTH IOWA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27447,758253,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,SUNWEST BANK OF GALLUP,Bank of America,"SUNWEST BANK OF GALLUP transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27448,831558,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"SUNWEST BANK OF HOBBS, NATIONAL ASSOCIATION",Bank of America,"SUNWEST BANK OF HOBBS, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27449,873240,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,"BOATMEN'S BANK IOWA, NATIONAL ASSOCIATION",Bank of America,"BOATMEN'S BANK IOWA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27450,883249,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF ARKANSAS ,Bank of America,"BOATMEN'S NATIONAL BANK OF ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27451,919447,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF BATESVILLE,Bank of America,"BOATMEN'S NATIONAL BANK OF BATESVILLE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27452,930545,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF RUSSELLVILLE,Bank of America,"BOATMEN'S NATIONAL BANK OF RUSSELLVILLE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27453,941242,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,BOATMEN'S NATIONAL BANK OF NORTHWEST ARKANSAS,Bank of America,"BOATMEN'S NATIONAL BANK OF NORTHWEST ARKANSAS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27454,977755,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,SUNWEST BANK OF FARMINGTON,Bank of America,"SUNWEST BANK OF FARMINGTON transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27455,1009251,480228,8/16/1997 0:00,Charter Discontinued,Merger,19970816,1997,SUNWEST BANK OF GRANT COUNTY,Bank of America,"SUNWEST BANK OF GRANT COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27580,273457,480228,7/12/1997 0:00,Charter Discontinued,Merger,19970712,1997,BOATMENS NATIONAL BANK OF OKLAHOMA,Bank of America,"BOATMENS NATIONAL BANK OF OKLAHOMA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27582,557652,480228,7/12/1997 0:00,Charter Discontinued,Merger,19970712,1997,BOATMEN'S BANK OF SOUTHERN MISSOURI,Bank of America,"BOATMEN'S BANK OF SOUTHERN MISSOURI transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27757,105558,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S OSAGE BANK,Bank of America,"BOATMEN'S OSAGE BANK transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27760,213257,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF TROY,Bank of America,"BOATMEN'S BANK OF TROY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27762,241755,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF PULASKI COUNTY,Bank of America,"BOATMEN'S BANK OF PULASKI COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27765,347246,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF QUINCY,Bank of America,"BOATMEN'S BANK OF QUINCY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27766,350152,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S NATIONAL BANK OF ST. LOUIS,Bank of America,"BOATMEN'S NATIONAL BANK OF ST. LOUIS, THE transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27767,360441,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S NATIONAL BANK OF CAPE GIRARDEAU,Bank of America,"BOATMEN'S NATIONAL BANK OF CAPE GIRARDEAU transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27768,384951,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S FIRST NATIONAL BANK OF WEST PLAINS,Bank of America,"BOATMEN'S FIRST NATIONAL BANK OF WEST PLAINS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27769,389442,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF SOUTH CENTRAL ILLINOIS,Bank of America,"BOATMEN'S BANK OF SOUTH CENTRAL ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27770,422648,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF MID MISSOURI,Bank of America,"BOATMEN'S BANK OF MID MISSOURI transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27771,518233,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S NATIONAL BANK OF COLES COUNTY,Bank of America,"BOATMEN'S NATIONAL BANK OF COLES COUNTY transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27772,526555,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMENS BANK ROLLA ,Bank of America,"BOATMENS BANK ROLLA transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27774,654850,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S NATIONAL BANK OF LEBANON ,Bank of America,"BOATMEN'S NATIONAL BANK OF LEBANON transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27775,657244,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S NATIONAL BANK OF CENTRAL ILLINOIS,Bank of America,"BOATMEN'S NATIONAL BANK OF CENTRAL ILLINOIS transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27776,672050,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S BANK OF MARSHALL ,Bank of America,"BOATMEN'S BANK OF MARSHALL transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
27777,741853,480228,6/14/1997 0:00,Charter Discontinued,Merger,19970614,1997,BOATMEN'S RIVER VALLEY BANK,Bank of America,"BOATMEN'S RIVER VALLEY BANK transferred its assets to one or more institutions including NATIONSBANK, N.A.. "
