Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name
18451,723354,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"OMAHA MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18452,728854,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"DENVER MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
18453,765756,451965,11/21/2003 0:00,Charter Discontinued,Merger,20031121,2003,"THOUSAND OAKS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22133,163969,451965,12/16/2000 0:00,Charter Discontinued,Merger,20001216,2000,"BARRANCA TOWERS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22594,517768,451965,8/25/2000 0:00,Charter Discontinued,Merger,20000825,2000,"NAPA DOWNTOWN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22608,172961,451965,8/18/2000 0:00,Charter Discontinued,Merger,20000818,2000,"FELICITA VILLAGE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
22732,732851,451965,7/8/2000 0:00,Charter Discontinued,Merger,20000708,2000,"WELLS FARGO BANK SAN FRANCISCO OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
23295,2309574,451965,2/18/2000 0:00,Charter Discontinued,Merger,20000218,2000,"WELLS FARGO BANK (ARIZONA), NATIONAL ASSOCIATION                                                                        ",Wells Fargo
0,0,0,1/0/1900 0:00,Charter Discontinued,Purchase/Acquisition,0,1998,NORWEST CORPORATION,Wells Fargo
27878,650151,451965,6/1/1997 0:00,Charter Discontinued,Merger,19970601,1997,"DENVER MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29132,529060,451965,9/1/1996 0:00,Charter Discontinued,Merger,19960901,1996,"CENTRAL & WASHINGTON BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29578,29971,451965,6/6/1996 0:00,Charter Discontinued,Merger,19960606,1996,"SEATTLE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29595,289467,451965,6/1/1996 0:00,Charter Discontinued,Merger,19960601,1996,"TOWER BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29605,550868,451965,6/1/1996 0:00,Charter Discontinued,Merger,19960601,1996,"BOISE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29606,603979,451965,6/1/1996 0:00,Charter Discontinued,Merger,19960601,1996,"GATEWAY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29615,793254,451965,6/1/1996 0:00,Charter Discontinued,Merger,19960601,1996,"SANTA FE MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
29618,977960,451965,6/1/1996 0:00,Charter Discontinued,Merger,19960601,1996,"5TH & JEFFERSON BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
0,0,0,1/0/1900 0:00,Charter Discontinued,Purchase/Acquisition,0,1996,FIRST INTERSTATE BANCORP                                                                                     ,Wells Fargo
39011,716963,451965,1/1/1991 0:00,Charter Discontinued,Not Applicable,19910101,1991,"HARBOR BOULEVARD BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
39033,1009064,451965,1/1/1991 0:00,Charter Discontinued,Not Applicable,19910101,1991,"ANAHEIM BRANCH #3 [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
40468,329569,451965,4/1/1990 0:00,Charter Discontinued,Not Applicable,19900401,1990,"SOLANA BEACH BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
40506,26363,451965,3/31/1990 0:00,Charter Discontinued,Not Applicable,19900331,1990,AMERICAN NATIONAL BANK                                                                                                  ,Wells Fargo
40800,795865,451965,1/2/1990 0:00,Charter Discontinued,Not Applicable,19900102,1990,"GLENDALE BRAND OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
41547,832461,451965,8/1/1989 0:00,Charter Discontinued,Not Applicable,19890801,1989,"PARADISE OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
43473,232865,451965,6/1/1988 0:00,Charter Discontinued,Not Applicable,19880601,1988,"SAN FRANCISCO MAIN OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
46845,696364,451965,5/31/1986 0:00,Charter Discontinued,Not Applicable,19860531,1986,"MARKET FINANCIAL BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
54679,698069,451965,7/14/1979 0:00,Charter Discontinued,Not Applicable,19790714,1979,"SAN LUIS OBISPO BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
54945,417961,451965,5/6/1978 0:00,Charter Discontinued,Not Applicable,19780506,1978,"ORANGE PLAZA BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
55595,136262,451965,8/24/1974 0:00,Charter Discontinued,Not Applicable,19740824,1974,"BUENA PARK BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
55656,960869,451965,1/22/1974 0:00,Charter Discontinued,Not Applicable,19740122,1974,"BEVERLY HILLS BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56158,184861,451965,11/7/1970 0:00,Charter Discontinued,Not Applicable,19701107,1970,"HOLTVILLE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56252,370963,451965,4/11/1970 0:00,Charter Discontinued,Not Applicable,19700411,1970,"SANTA MARIA BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56399,187965,451965,5/30/1969 0:00,Charter Discontinued,Not Applicable,19690530,1969,"VENTURA OFFICE [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56474,25861,451965,11/9/1968 0:00,Charter Discontinued,Not Applicable,19681109,1968,AZUSA VALLEY SAVINGS BANK                                                                                               ,Wells Fargo
56476,907967,451965,11/9/1968 0:00,Charter Discontinued,Not Applicable,19681109,1968,"AZUSA BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56540,648260,451965,4/13/1968 0:00,Charter Discontinued,Not Applicable,19680413,1968,"COLORADO-ORANGE GROVE BLVD BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
56987,833468,451965,1/4/1965 0:00,Charter Discontinued,Not Applicable,19650104,1965,"JACKSON BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57180,884563,451965,8/31/1963 0:00,Charter Discontinued,Not Applicable,19630831,1963,STATE CENTER BANK                                                                                                       ,Wells Fargo
57457,491662,451965,1/2/1962 0:00,Charter Discontinued,Not Applicable,19620102,1962,"SANTA CRUZ BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57568,286167,451965,3/4/1961 0:00,Charter Discontinued,Not Applicable,19610304,1961,"PAJARO VALLEY BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57611,572066,451965,12/2/1960 0:00,Charter Discontinued,Not Applicable,19601202,1960,"MARYSVILLE BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
57704,531465,451965,3/25/1960 0:00,Charter Discontinued,Not Applicable,19600325,1960,"SAN FRANCISCO MAIN BRANCH [WELLS FARGO BANK, NATIONAL ASSOCIATION]",Wells Fargo
